Description,Post,District,Neighborhood,Longitude,Latitude,Premise,CallDescription,Year,median_household_income,households_below_poverty,perc18_24,perc25_64,perc65up,perc_asian,perc_aa,perc_hisp,perc_white,median_price_homes_sold,racial_diversity_index,num_households,Month,crime_hour,Outside,Weapon_FIREARM,Weapon_HANDS,Weapon_KNIFE,Weapon_NONE,Weapon_OTHER,call_hour,Season_autumn,Season_spring,Season_summer,Season_winter,Holiday,Weekend,Priority_HIGH,Priority_LOW,Priority_MEDIUM,Priority_NON-EMERGENCY,Priority_OUT OF SERVICE,Priority_UNKNOWN
8,414.0,2,262,-76.59249,39.35501,67,76,2015,47461.8569277108,12.1056493030081,11.9214912026015,52.830846060043,13.5590267696417,1.19040706114627,90.0296150049358,1.75367284129841,6.47465303989315,104400.0,20.4163641633503,104400.0,8,17,1,0,0,0,1,0,22,0,0,1,0,0,1,0,1,0,0,0,0
8,211.0,5,134,-76.59846,39.28725,67,6,2015,39573.5531914894,38.1044487427466,10.7104984093319,61.3821138211382,5.95616825733475,4.82502651113468,58.4835630965005,8.69565217391304,27.0236832803111,284000.0,61.8036045427342,292900.0,6,16,1,0,0,0,1,0,16,0,0,1,0,0,0,0,0,0,1,0,0
7,512.0,3,42,-76.61471999999999,39.32612,48,30,2015,32241.1382211538,23.8470873786408,30.2971732302489,52.0657163566079,7.07900459048079,13.8620439719739,32.0367238463397,5.20053152935492,44.4853829427398,167000.0,67.515184839871,170000.0,9,22,1,0,0,0,1,0,17,0,0,1,0,0,0,0,1,0,0,0,0
7,922.0,6,43,-76.62508000000001,39.24406,48,116,2015,22403.3653846154,45.5329949238579,10.6544901065449,43.9175740545604,8.19576162041916,1.00690785622292,88.9240135815478,4.65987589275261,2.61093548764782,19109.0,25.5032214143137,38000.0,12,19,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
3,513.0,3,0,-76.61108,39.324940000000005,67,76,2015,32241.1382211538,23.8470873786408,30.2971732302489,52.0657163566079,7.07900459048079,13.8620439719739,32.0367238463397,5.20053152935492,44.4853829427398,167000.0,67.515184839871,170000.0,5,23,1,0,0,0,1,0,9,0,1,0,0,0,0,0,1,0,0,0,0
3,342.0,1,65,-76.59776,39.314440000000005,67,27,2015,30685.0481481481,25.7916241062308,10.4638734501924,54.3608379649423,12.9970072680633,0.427533133817871,95.0299273193672,1.99871740059855,0.940572894399316,18250.0,13.0427041249364,22000.0,8,22,1,0,0,0,1,0,9,0,0,1,0,0,1,0,0,1,0,0,0
0,342.0,1,55,-76.5977,39.3144,67,46,2015,29364.2063492064,23.6260623229462,10.2817068822061,53.0963984309996,15.559253536194,0.0713181980268632,94.4847260192559,2.24652323784619,1.85427314869844,19000.0,13.7464565186241,20000.0,11,19,1,0,0,0,0,1,23,1,0,0,0,0,1,0,0,1,0,0,0
7,541.0,3,72,-76.62715,39.34501,18,75,2015,105555.333333333,3.75275938189845,9.13385826771654,49.8687664041995,20.5905511811024,6.95538057742782,6.86351706036745,2.93963254593176,79.6587926509186,269900.0,34.8290620095258,317762.0,1,9,0,0,0,0,1,0,8,0,0,0,1,0,0,0,1,0,0,0,0
7,523.0,3,14,-76.6099,39.35947,55,75,2015,45454.4545454545,8.85245901639344,7.95577454632857,54.5727676961904,11.9697151784641,0.889316187958178,67.612065857469,5.54019949525297,22.0886912630693,109500.0,50.6817044242091,125000.0,5,16,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0
8,721.0,8,160,-76.66171999999999,39.29981,67,105,2015,31759.0589198036,21.3292117465224,11.0357622672894,52.6069989124176,13.1213613972235,0.204721386987397,97.4409826626575,1.45224233894185,0.358262427227944,17500.0,5.48908692351591,25358.0,4,19,1,0,0,0,1,0,10,0,1,0,0,0,0,0,1,0,0,0,0
