ABELL,0
ALLENDALE,1
ARCADIA,2
ARLINGTON,3
ARMISTEAD GARDENS,4
ASHBURTON,5
BALTIMORE HIGHLANDS,6
BARCLAY,7
BARRE CIRCLE,8
BAYVIEW,9
BEECHFIELD,10
BELAIR-EDISON,11
BELAIR-PARKSIDE,12
BELLONA-GITTINGS,13
BELVEDERE,14
BEREA,15
BETTER WAVERLY,16
BEVERLY HILLS,17
BIDDLE STREET,18
BLYTHEWOOD,19
BOLTON HILL,20
BOYD-BOOTH,21
BREWERS HILL,22
BRIDGEVIEW/GREENLAWN,23
BROADWAY EAST,24
BROENING MANOR,25
BROOKLYN,26
BURLEITH-LEIGHTON,27
BUTCHER'S HILL,28
CALLAWAY-GARRISON,29
CAMERON VILLAGE,30
CANTON,31
CANTON INDUSTRIAL AREA,32
CARE,33
CARROLL - CAMDEN INDUSTRI,34
CARROLL PARK,35
CARROLL-SOUTH HILTON,36
CARROLLTON RIDGE,37
CEDARCROFT,38
CEDMONT,39
CEDONIA,40
CENTRAL FOREST PARK,41
CENTRAL PARK HEIGHTS,42
CHARLES NORTH,43
CHARLES VILLAGE,44
CHERRY HILL,45
CHESWOLDE,46
CHINQUAPIN PARK,47
CLIFTON PARK,48
COLDSPRING,49
COLDSTREAM HOMESTEAD MONT,50
CONCERNED CITIZENS OF FOR,51
COPPIN HEIGHTS/ASH-CO-EAS,52
CROSS COUNTRY,53
CROSS KEYS,54
CURTIS BAY,55
CURTIS BAY INDUSTRIAL ARE,56
CYLBURN,57
DARLEY PARK,58
DICKEYVILLE,59
DOLFIELD,60
DORCHESTER,61
DOWNTOWN,62
DOWNTOWN WEST,63
DRUID HEIGHTS,64
DRUID HILL PARK,65
DUNBAR-BROADWAY,66
DUNDALK MARINE TERMINAL,67
EAST ARLINGTON,68
EAST BALTIMORE MIDWAY,69
EASTERWOOD,70
EASTWOOD,71
EDGEWOOD,72
EDMONDSON VILLAGE,73
EDNOR GARDENS-LAKESIDE,74
ELLWOOD PARK/MONUMENT,75
EVERGREEN,76
EVERGREEN LAWN,77
EVESHAM PARK,78
FAIRFIELD AREA,79
FAIRMONT,80
FALLSTAFF,81
FEDERAL HILL,82
FELLS POINT,83
FOREST PARK,84
FOREST PARK GOLF COURSE,85
FOUR BY FOUR,86
FRANKFORD,87
FRANKLIN SQUARE,88
FRANKLINTOWN,89
FRANKLINTOWN ROAD,90
GARWYN OAKS,91
GAY STREET,92
GLEN,93
GLEN OAKS,94
GLENHAM-BELHAR,95
GRACELAND PARK,96
GREEKTOWN,97
GREENMOUNT CEMETERY,98
GREENMOUNT WEST,99
GREENSPRING,100
GROVE PARK,101
GUILFORD,102
GWYNNS FALLS,103
GWYNNS FALLS/LEAKIN PARK,104
HAMILTON HILLS,105
HAMPDEN,106
HANLON-LONGWOOD,107
HARLEM PARK,108
HARWOOD,109
HAWKINS POINT,110
HERITAGE CROSSING,111
HERRING RUN PARK,112
HIGHLANDTOWN,113
HILLEN,114
HOES HEIGHTS,115
HOLABIRD INDUSTRIAL PARK,116
HOLLINS MARKET,117
HOMELAND,118
HOPKINS BAYVIEW,119
HOWARD PARK,120
HUNTING RIDGE,121
IDLEWOOD,122
INNER HARBOR,123
IRVINGTON,124
JOHNS HOPKINS HOMEWOOD,125
JOHNSTON SQUARE,126
JONES FALLS AREA,127
JONESTOWN,128
KENILWORTH PARK,129
KERNEWOOD,130
KESWICK,131
KRESSON,132
LAKE EVESHAM,133
LAKE WALKER,134
LAKELAND,135
LANGSTON HUGHES,136
LAURAVILLE,137
LEVINDALE,138
LIBERTY SQUARE,139
LITTLE ITALY,140
LOCH RAVEN,141
LOCUST POINT,142
LOCUST POINT INDUSTRIAL A,143
LOWER EDMONDSON VILLAGE,144
LOWER HERRING RUN PARK,145
LOYOLA/NOTRE DAME,146
LUCILLE PARK,147
MADISON PARK,148
MADISON-EASTEND,149
MAYFIELD,150
MCELDERRY PARK,151
MEDFIELD,152
MEDFORD,153
MID-GOVANS,154
MID-TOWN BELVEDERE,155
MIDDLE BRANCH/REEDBIRD PA,156
MIDDLE EAST,157
MIDTOWN-EDMONDSON,158
MILLHILL,159
MILTON-MONTFORD,160
MONDAWMIN,161
MONTEBELLO,162
MORAVIA-WALTHER,163
MORGAN PARK,164
MORGAN STATE UNIVERSITY,165
MORRELL PARK,166
MOSHER,167
