ALLEY,0
APARTMENT,1
ATM MACHIN,2
AUTO PARTS,3
BAKERY,4
BANK/FINAN,5
BAR,6
BARBER/BEA,7
BOAT YARD,8
BOAT/SHIP,9
BRIDGE-PIE,10
BUS.  STOR,11
BUS. PARK,12
BUS/AUTO,13
BUS/RAILRO,14
CAB,15
CAR  REPAI,16
CAR LOT-NE,17
CARRY OUT,18
CEMETERY,19
CHAIN FOOD,20
CLOTHING/S,21
CLUB HOUSE,22
CONSTRUCTI,23
CONVENIENC,24
CONVENTION,25
COURT HOUS,26
DEPARTMENT,27
DOCTORS OF,28
DRIVEWAY,29
DRUG STORE,30
DWELLING,31
FAST FOOD,32
FIRE DEPAR,33
GAS STATIO,34
GROCERY/CO,35
HARDWARE/B,36
HOSPITAL,37
HOTEL/MOTE,38
INNER HARB,39
JEWELRY ST,40
LAUNDRY/CL,41
LIBRARY,42
LIGHT RAIL,43
LIQUOR STO,44
MARKET STA,45
MINI STORA,46
MTA LOT,47
NIGHT DEPO,48
OFFICE BUI,49
OTHER - IN,50
OTHER - OU,51
OTHER/RESI,52
PARK,53
PARKING LO,54
PAWN SHOP,55
PENITENTIA,56
PLAYGROUND,57
POLICE DEP,58
POOL/BOWLI,59
PORCH/DECK,60
PUBLIC ARE,61
PUBLIC BUI,62
PUBLIC HOU,63
RACE TRACK,64
RECREATION,65
RELIGIOUS,66
RESTAURANT,67
RETAIL/SMA,68
ROW/TOWNHO,69
SALESMAN/C,70
SCHOOL,71
SCHOOL PLA,72
SHED/GARAGE,73
SHOPPING M,74
SINGLE HOU,75
SPECIALTY,76
STADIUM,77
STREET,78
SUBWAY,79
THEATRE,80
TRACTOR TR,81
UNKNOWN,82
UTILITIES-,83
VACANT BUI,84
VACANT DWE,85
VACANT LOT,86
WAREHOUSE,87
WHOLESALE/,88
YARD,89
