,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,CrimeId,callDateTime,Priority,CallDescription,CallId
131273,2015-01-01 00:00:00,22:15:00,6D,1200 RAMBLEWOOD RD,LARCENY FROM AUTO,O,,414.0,NORTHEASTERN,Ramblewood,-76.59326999999999,39.36257,"(39.3625700000, -76.5932700000)",STREET,1,131273,2015-01-02 07:46:00,Low,Larceny f/Auto,
131278,2015-01-01 00:00:00,21:00:00,6D,5800 BLAND AV,LARCENY FROM AUTO,O,,632.0,NORTHWESTERN,Glen,-76.68072,39.35743,"(39.3574300000, -76.6807200000)",STREET,1,131278,2015-01-02 18:06:00,Low,Larceny f/Auto,
131281,2015-01-01 00:00:00,21:00:00,7C,300 S CONKLING ST,AUTO THEFT,O,,231.0,SOUTHEASTERN,Highlandtown,-76.56730999999999,39.28843,"(39.2884300000, -76.5673100000)",STREET,1,131281,2015-01-02 08:39:00,Medium,Auto Theft,
131283,2015-01-01 00:00:00,20:36:00,5A,0 S LINWOOD AV,BURGLARY,I,,222.0,SOUTHEASTERN,Patterson Park Neighborho,-76.57611999999999,39.29177,"(39.2917700000, -76.5761200000)",ROW/TOWNHO,1,131283,2015-01-01 20:33:00,Medium,Burglary,
131284,2015-01-01 00:00:00,20:30:00,7A,2300 WILKENS AV,AUTO THEFT,O,,841.0,SOUTHWESTERN,Carrollton Ridge,-76.65305,39.28,"(39.2800000000, -76.6530500000)",STREET,1,131284,2015-01-02 12:39:00,Medium,Disorderly,
131286,2015-01-01 00:00:00,20:22:00,3CF,1000 GREENMOUNT AV,ROBBERY - COMMERCIAL,I,FIREARM,311.0,EASTERN,Johnston Square,-76.60725,39.301429999999996,"(39.3014300000, -76.6072500000)",GROCERY/CO,1,131286,2015-01-01 20:19:00,High,Robbery Armed,
131289,2015-01-01 00:00:00,20:00:00,7A,500 MILLINGTON AV,AUTO THEFT,O,,841.0,SOUTHWESTERN,Millhill,-76.65611,39.27932,"(39.2793200000, -76.6561100000)",STREET,1,131289,2015-01-01 20:49:00,Medium,*ATTEMPT,
131294,2015-01-01 00:00:00,19:30:00,6D,5100 THE ALAMEDA,LARCENY FROM AUTO,O,,524.0,NORTHERN,Kenilworth Park,-76.5989,39.35041,"(39.3504100000, -76.5989000000)",STREET,1,131294,2015-01-01 22:32:00,Low,Larceny f/Auto,
131296,2015-01-01 00:00:00,19:00:00,6E,100 N CENTRAL AV,LARCENY,O,,211.0,SOUTHEASTERN,Pleasant View Gardens,-76.59982,39.29287,"(39.2928700000, -76.5998200000)",STREET,1,131296,2015-01-02 11:09:00,Low,Larceny,
131302,2015-01-01 00:00:00,18:40:00,7A,1000 E PRATT ST,AUTO THEFT,O,,211.0,SOUTHEASTERN,Jonestown,-76.60144,39.28799,"(39.2879900000, -76.6014400000)",STREET,1,131302,2015-01-01 18:43:00,Medium,Auto Theft,
131306,2015-01-01 00:00:00,18:00:00,7A,3600 GRANTLEY RD,AUTO THEFT,O,,643.0,NORTHWESTERN,Ashburton,-76.67504,39.32863,"(39.3286300000, -76.6750400000)",STREET,1,131306,2015-01-02 08:33:00,Medium,Auto Theft,
131318,2015-01-01 00:00:00,16:00:00,6D,700 W HAMBURG ST,LARCENY FROM AUTO,O,,932.0,SOUTHERN,Washington Village/Pigtow,-76.62773,39.28075,"(39.2807500000, -76.6277300000)",STREET,1,131318,2015-01-02 07:55:00,High,Silent Alarm,
131319,2015-01-01 00:00:00,15:30:00,6E,1000 WHATCOAT ST,LARCENY,O,,743.0,WESTERN,Sandtown-Winchester,-76.64092,39.30045,"(39.3004500000, -76.6409200000)",STREET,1,131319,2015-01-02 13:31:00,Low,Larceny f/Auto,
131323,2015-01-01 00:00:00,14:44:00,9S,4300 LASALLE AV,SHOOTING,Outside,FIREARM,444.0,NORTHEASTERN,Frankford,-76.54926,39.337720000000004,"(39.3377200000, -76.5492600000)",Street,1,131323,2015-01-01 14:43:00,High,Shooting,
