Unnamed: 0,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,callDateTime,Priority,CallDescription,Season,Month,Hour
31238,2017-01-19,19:00:00,6D,4200 WICKFORD RD,LARCENY FROM AUTO,,NONE,541.0,NORTHERN,Roland Park,-76.62663,39.34035,"(39.3403500000, -76.6266300000)",,1,2017-01-20 09:37:00,Low,LARCENY F/AUTO,winter,1,19
31239,2017-01-19,19:00:00,6D,800 WEDGEWOOD RD,LARCENY FROM AUTO,,NONE,823.0,SOUTHWESTERN,West Hills,-76.70612,39.29449,"(39.2944900000, -76.7061200000)",,1,2017-01-20 05:55:00,Low,LARCENY F/AUTO,winter,1,19
31244,2017-01-19,18:30:00,6E,3000 SHANNON DR,LARCENY,,NONE,432.0,NORTHEASTERN,Belair-Edison,-76.56774,39.32524,"(39.3252400000, -76.5677400000)",,1,2017-01-20 14:34:00,Low,LARCENY F/AUTO,winter,1,18
31255,2017-01-19,17:50:00,7A,0 N PORT ST,AUTO THEFT,Outside,NONE,221.0,SOUTHEASTERN,Patterson Place,-76.58267,39.29265,"(39.2926500000, -76.5826700000)",STREET,1,2017-01-19 17:51:00,Medium,AUTO THEFT,winter,1,17
31256,2017-01-19,17:30:00,5A,1300 CAMBRIA ST,BURGLARY,,NONE,911.0,SOUTHERN,Curtis Bay,-76.59111,39.23224,"(39.2322400000, -76.5911100000)",,1,2017-01-19 17:38:00,Medium,BURGLARY,winter,1,17
31258,2017-01-19,17:00:00,6D,800 S BOULDIN ST,LARCENY FROM AUTO,Outside,NONE,232.0,SOUTHEASTERN,Canton,-76.57047,39.28273,"(39.2827300000, -76.5704700000)",STREET,1,2017-01-20 08:32:00,Low,LARCENY F/AUTO,winter,1,17
31261,2017-01-19,16:49:00,3B,500 N CLINTON ST,ROBBERY - STREET,Outside,NONE,224.0,SOUTHEASTERN,Ellwood Park/Monument,-76.5707,39.29728,"(39.2972800000, -76.5707000000)",STREET,1,2017-01-19 16:25:00,Medium,FAMILY DISTURB,winter,1,16
31268,2017-01-19,16:00:00,3AF,200 W MONUMENT ST,ROBBERY - STREET,Outside,FIREARM,142.0,CENTRAL,Mount Vernon,-76.61905,39.29742,"(39.2974200000, -76.6190500000)",STREET,1,2017-01-20 07:39:00,Low,MALE SLEEP,winter,1,16
31270,2017-01-19,15:22:00,4C,1700 CLARKSON ST,AGG. ASSAULT,Outside,OTHER,942.0,SOUTHERN,South Baltimore,-76.61591999999997,39.27002,"(39.2700200000, -76.6159200000)",STREET,1,2017-01-19 15:23:00,High,AGGRAV ASSAULT,winter,1,15
31274,2017-01-19,15:00:00,6D,200 MALLOW HILL RD,LARCENY FROM AUTO,,NONE,823.0,SOUTHWESTERN,Westgate,-76.71002,39.28084000000001,"(39.2808400000, -76.7100200000)",,1,2017-01-20 09:39:00,Low,LARCENY F/AUTO,winter,1,15
